Date,DIA,EEM,GLD,IWM,IYR,QQQ,SPY,TLT,USO
2022-05-17,319.1257629394531,40.04301071166992,169.3300018310547,179.23072814941406,94.00818634033203,303.83551025390625,400.0313415527344,111.07086944580078,81.11000061035156
2022-05-18,307.8573913574219,39.0836067199707,169.4199981689453,172.9501953125,91.29045867919922,288.92010498046875,383.90545654296875,113.43861389160156,79.29000091552734
2022-05-19,305.5451354980469,39.703826904296875,171.91000366210938,173.23477172851562,91.0680160522461,287.37200927734375,381.5541687011719,113.71033477783203,80.58000183105469
2022-05-20,305.53045654296875,39.86857223510742,172.02999877929688,172.79318237304688,91.7643814086914,286.4788513183594,381.72076416015625,115.00093841552734,81.6500015258789
2022-05-23,311.8088684082031,40.16899108886719,172.8300018310547,174.88340759277344,92.88628387451172,291.2422790527344,388.8627624511719,113.10868072509766,81.97000122070312
2022-05-24,312.3467712402344,39.47124099731445,174.1300048828125,172.29269409179688,93.77606964111328,285.0498352050781,385.894287109375,115.3405990600586,82.0
2022-05-25,314.195068359375,39.66506576538086,173.0800018310547,175.39369201660156,94.44341278076172,289.0391845703125,389.3036193847656,115.7966537475586,82.4800033569336
2022-05-26,319.2511291503906,40.285282135009766,172.75999450683594,179.30921936035156,94.53045654296875,297.04766845703125,397.0824279785156,115.27264404296875,84.58999633789062
2022-05-27,324.7471618652344,40.75044631958008,172.85000610351562,184.1373748779297,97.06442260742188,306.7431945800781,406.8304748535156,115.55406951904297,85.45999908447266
2022-05-31,322.91839599609375,41.32221221923828,171.13999938964844,181.8508758544922,95.88449096679688,305.9294128417969,404.5477600097656,113.10868072509766,85.47000122070312
2022-06-01,321.1189270019531,41.03148651123047,172.22999572753906,180.82044982910156,95.03338623046875,303.66680908203125,401.2755432128906,112.97938537597656,85.54000091552734
2022-06-02,325.4317321777344,41.73892593383789,174.35000610351562,185.23646545410156,96.40675354003906,311.98291015625,408.917236328125,113.03772735595703,87.25
2022-06-03,322.0871276855469,41.0605583190918,172.5800018310547,183.5681915283203,95.12042999267578,303.86529541015625,402.20623779296875,112.79469299316406,89.47000122070312
2022-06-06,322.1849670410156,41.283451080322266,171.82000732421875,184.3630828857422,94.79158782958984,304.8775329589844,403.430908203125,110.71435546875,88.38999938964844
2022-06-07,324.84490966796875,41.4094352722168,172.94000244140625,187.33651733398438,96.05857849121094,307.50726318359375,407.3006896972656,111.91004943847656,90.04000091552734
2022-06-08,322.1164855957031,41.63232421875,172.77999877929688,184.44158935546875,93.85344696044922,305.2943420410156,402.8724670410156,110.91848754882812,91.98999786376953
2022-06-09,315.877197265625,40.647178649902344,172.22999572753906,180.61810302734375,91.771484375,297.11712646484375,393.291015625,111.28791809082031,91.08000183105469
2022-06-10,307.4375,40.19760513305664,174.5399932861328,175.71815490722656,89.75260925292969,286.6376647949219,381.8872985839844,110.59769439697266,90.12999725341797
2022-06-13,298.84130859375,38.790245056152344,169.92999267578125,167.46307373046875,85.32660675048828,273.31005859375,367.3877258300781,107.12723541259766,90.36000061035156
2022-06-14,297.5895080566406,39.327781677246094,168.57000732421875,166.65628051757812,84.6568832397461,273.8062438964844,366.2806701660156,105.7760009765625,88.44999694824219
2022-06-15,300.4549560546875,39.845767974853516,170.77000427246094,169.0963897705078,86.56900024414062,280.6437072753906,371.5024719238281,107.74940490722656,86.93000030517578
2022-06-16,293.2865905761719,38.62410354614258,172.69000244140625,161.26437377929688,84.39482116699219,269.3207092285156,359.20721435546875,108.60486602783203,87.66000366210938
2022-06-17,292.8081970214844,38.77069854736328,171.27000427246094,162.52381896972656,85.0839614868164,272.59552001953125,359.9815673828125,108.95481872558594,83.33999633789062
2022-06-21,299.2481689453125,39.39619445800781,170.6300048828125,165.4362030029297,86.4136962890625,279.4730224609375,369.0436096191406,107.1078109741211,84.05000305175781
2022-06-22,298.5816650390625,38.69251251220703,171.30999755859375,165.12135314941406,87.65607452392578,279.06536865234375,368.3745422363281,110.0533218383789,80.87999725341797
2022-06-23,300.6695251464844,38.80979537963867,170.25999450683594,167.09902954101562,89.37407684326172,283.2214660644531,371.9855651855469,110.9573974609375,78.9800033569336
2022-06-24,308.78558349609375,39.728485107421875,170.08999633789062,172.27444458007812,91.2764663696289,292.9256286621094,383.8124084472656,109.42143249511719,81.2699966430664
2022-06-27,308.138671875,39.77735137939453,169.89999389648438,172.91400146484375,91.07264709472656,290.77801513671875,382.34637451171875,108.48820495605469,82.93000030517578
2022-06-28,303.218017578125,39.53302001953125,169.6199951171875,169.6670684814453,89.99525451660156,281.9189453125,374.533935546875,108.99370574951172,84.72000122070312
2022-06-29,303.91400146484375,39.37664794921875,169.49000549316406,167.94520568847656,89.45172119140625,282.17742919921875,374.2289123535156,110.69493103027344,82.94999694824219
2022-06-30,301.7281188964844,39.19095230102539,168.4600067138672,166.6365966796875,89.27700805664062,278.6775817871094,371.1885681152344,111.66703033447266,80.3499984741211
2022-07-01,304.6981506347656,38.946617126464844,168.32000732421875,168.65362548828125,90.95616149902344,280.51702880859375,375.1144714355469,112.81348419189453,81.66999816894531
2022-07-05,303.5806884765625,38.64365005493164,164.75,170.05081176757812,90.57762908935547,285.3193664550781,375.8229064941406,113.69985961914062,74.77999877929688
2022-07-06,304.2669372558594,38.409088134765625,162.13999938964844,168.79136657714844,90.56791687011719,287.1488342285156,377.0921630859375,111.79073333740234,73.66999816894531
